game,gameLabel,releaseDate,platformLabel,genreLabel,narrativeLocationLabel,periodLabel
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Microsoft Windows,sports video game,Japan,FIFA World Cup
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,PlayStation,sports video game,Japan,FIFA World Cup
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,PlayStation 2,sports video game,Japan,FIFA World Cup
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Xbox,sports video game,Japan,FIFA World Cup
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Nintendo GameCube,sports video game,Japan,FIFA World Cup
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Microsoft Windows,sports video game,Japan,2002
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,PlayStation,sports video game,Japan,2002
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,PlayStation 2,sports video game,Japan,2002
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Xbox,sports video game,Japan,2002
http://www.wikidata.org/entity/Q2322709,2002 FIFA World Cup,2002-04-22T00:00:00Z,Nintendo GameCube,sports video game,Japan,2002
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,Wii,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation 2,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation 3,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,Xbox 360,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,iOS,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation Portable,sports video game,South Africa,2010
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,Wii,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation 2,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation 3,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,Xbox 360,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,iOS,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q586736,2010 FIFA World Cup South Africa,2010-04-27T00:00:00Z,PlayStation Portable,sports video game,South Africa,FIFA World Cup
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,PlayStation 3,sports video game,Mexico,2014
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,Xbox 360,sports video game,Mexico,2014
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,PlayStation 3,sports video game,Brazil,2014
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,Xbox 360,sports video game,Brazil,2014
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,PlayStation 3,sports video game,Mexico,FIFA World Cup
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,Xbox 360,sports video game,Mexico,FIFA World Cup
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,PlayStation 3,sports video game,Brazil,FIFA World Cup
http://www.wikidata.org/entity/Q15621213,2014 FIFA World Cup Brazil,2014-04-15T00:00:00Z,Xbox 360,sports video game,Brazil,FIFA World Cup
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,Microsoft Windows,action-adventure game,Holy Land,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,PlayStation 3,action-adventure game,Holy Land,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,Xbox 360,action-adventure game,Holy Land,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,Microsoft Windows,open world,Holy Land,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,PlayStation 3,open world,Holy Land,2012
http://www.wikidata.org/entity/Q200864,Assassin's Creed,2007-11-13T00:00:00Z,Xbox 360,open world,Holy Land,2012
